app_name,appid,apkName,dex_comp_size,dex_comp_cnt,dex_uncomp_size,dex_uncomp_cnt,so_comp_size,so_comp_cnt,so_uncomp_size,so_uncomp_cnt,so_uncomp_zip_size,so_uncomp_zip_cnt,png_comp_size,png_comp_cnt,png_uncomp_size,png_uncomp_cnt,png_uncomp_zip_size,png_uncomp_zip_cnt,zip_comp_size,zip_comp_cnt,zip_uncomp_size,zip_uncomp_cnt,other_comp_size,other_comp_cnt,other_uncomp_size,other_uncomp_cnt,all_size
微信,C5683,com.tencent.mm.2208231943.apk,63847768,14,0,0,134193532,158,0,0,0,0,0,0,15164048,2951,0,0,3601501,16,878704,1,39844934,9668,17220980,135,274751467
微信,C5683,com.tencent.mm.2207251720.apk,63436231,14,0,0,133450737,159,0,0,0,0,0,0,16163582,2941,0,0,3235054,16,878704,1,39691448,9551,17127566,137,273983322
微信,C5683,com.tencent.mm.2206292000.apk,61784375,14,0,0,130466867,157,0,0,0,0,0,0,16125284,2928,0,0,4110197,17,0,0,38803775,9397,16830778,125,268121276
微信,C5683,com.tencent.mm.2205311522.apk,60303121,13,0,0,113469770,156,0,0,0,0,0,0,16055190,2908,0,0,3180958,16,878704,1,37155159,9223,16926615,134,247969517
微信,C5683,com.tencent.mm.2209192013.apk,64782319,14,0,0,133664307,158,0,0,0,0,0,0,5073401,1810,0,0,3660800,16,878704,1,38459072,9802,18316848,1225,264835451
百度,C31346,com.baidu.searchbox.2210111452.apk,42833859,13,0,0,49706434,88,0,0,0,0,0,0,1266262,343,0,0,2328633,7,0,0,24908681,7802,14855512,5624,135899381
百度,C31346,com.baidu.searchbox.2209261432.apk,42833098,13,0,0,58536230,88,0,0,0,0,0,0,1266262,343,0,0,2328633,7,0,0,25225603,7802,14855512,5624,145045338
百度,C31346,com.baidu.searchbox.2209211107.apk,42568729,13,0,0,58783853,89,0,0,0,0,0,0,1266262,343,0,0,1897728,6,0,0,25020309,7701,14586751,5582,144123632
百度,C31346,com.baidu.searchbox.2209131205.apk,42558290,13,0,0,49915616,89,0,0,0,0,0,0,1266262,343,0,0,1897728,6,0,0,24697401,7699,14586715,5583,134922012
百度,C31346,com.baidu.searchbox.2210311615.apk,43686533,13,0,0,49837242,88,0,0,0,0,0,0,1266262,343,0,0,1941726,7,0,0,26317701,7931,13438903,5669,136488367
抖音,C10652857,com.ss.android.ugc.aweme.2210271629.apk,93271794,30,0,0,39083522,156,0,0,0,0,570501,172,261944,169,0,0,1481030,15,1020728,2,18679229,19485,11047531,10693,165416279
抖音,C10652857,com.ss.android.ugc.aweme.2210241625.apk,92359872,30,0,0,45587518,157,0,0,0,0,566323,169,261944,169,0,0,1449436,15,1020728,2,18539905,19246,10988307,10644,170774033
抖音,C10652857,com.ss.android.ugc.aweme.2210191114.apk,91048282,30,0,0,39083642,156,0,0,0,0,550019,168,261944,169,0,0,1449399,15,1020728,2,18350068,18904,10820641,10501,162584723
抖音,C10652857,com.ss.android.ugc.aweme.2210091550.apk,91056401,30,0,0,45584602,157,0,0,0,0,550019,168,261944,169,0,0,1449399,15,1020728,2,18350115,18904,10820641,10501,169093849
抖音,C10652857,com.ss.android.ugc.aweme.2211031755.apk,94097428,30,0,0,39418055,158,0,0,0,0,565812,167,238316,159,0,0,1524611,16,1020728,2,18626034,19433,10886077,10664,166377061
