filename,type,offset,compressedSize,uncompressedSize,method,zlib,7zip
AndroidManifest.xml,xml,0,23118,152784,8,0,0
HMSCore-availableupdate.properties,properties,23167,46,46,0,0,0
HMSCore-base.properties,properties,23278,35,35,0,0,0
HMSCore-device.properties,properties,23367,37,37,0,0,0
HMSCore-hatool.properties,properties,23461,37,37,0,0,0
HMSCore-log.properties,properties,23553,34,34,0,0,0
HMSCore-stats.properties,properties,23642,36,36,0,0,0
HMSCore-ui.properties,properties,23732,33,33,0,0,0
account-api_release.kotlin_module,kotlin_module,23817,11,16,8,0,1
account_release.kotlin_module,kotlin_module,23900,50,58,8,0,1
ad-api_release.kotlin_module,kotlin_module,24018,11,16,8,0,1
ad_base_release.kotlin_module,kotlin_module,24096,11,16,8,0,1
ad_release.kotlin_module,kotlin_module,24175,11,16,8,0,1
adi-nop_release.kotlin_module,kotlin_module,24249,11,16,8,0,1
androidx.activity_activity.version,version,24328,6,6,0,0,0
androidx.annotation_annotation-experimental.version,version,24414,6,6,0,0,0
androidx.appcompat_appcompat-resources.version,version,24510,6,6,0,0,0
androidx.appcompat_appcompat.version,version,24602,6,6,0,0,0
androidx.arch.core_core-runtime.version,version,24686,6,6,0,0,0
androidx.asynclayoutinflater_asynclayoutinflater.version,version,24770,6,6,0,0,0
androidx.browser_browser.version,version,24874,6,6,0,0,0
androidx.cardview_cardview.version,version,24954,6,6,0,0,0
androidx.coordinatorlayout_coordinatorlayout.version,version,25034,6,6,0,0,0
androidx.core_core-ktx.version,version,25134,6,6,0,0,0
androidx.core_core.version,version,25210,6,6,0,0,0
androidx.cursoradapter_cursoradapter.version,version,25282,6,6,0,0,0
androidx.customview_customview.version,version,25374,6,6,0,0,0
androidx.databinding_baseAdapters.version,version,25458,5,5,0,0,0
androidx.databinding_library.version,version,25545,5,5,0,0,0
androidx.documentfile_documentfile.version,version,25625,6,6,0,0,0
androidx.drawerlayout_drawerlayout.version,version,25714,6,6,0,0,0
androidx.dynamicanimation_dynamicanimation.version,version,25802,6,6,0,0,0
androidx.exifinterface_exifinterface.version,version,25898,6,6,0,0,0
androidx.fragment_fragment.version,version,25990,6,6,0,0,0
androidx.interpolator_interpolator.version,version,26070,6,6,0,0,0
androidx.legacy_legacy-support-core-ui.version,version,26158,6,6,0,0,0
androidx.legacy_legacy-support-core-utils.version,version,26250,6,6,0,0,0
androidx.legacy_legacy-support-v13.version,version,26346,6,6,0,0,0
androidx.legacy_legacy-support-v4.version,version,26434,6,6,0,0,0
androidx.lifecycle_lifecycle-extensions.version,version,26522,6,6,0,0,0
