filename,type,offset,compressedSize,uncompressedSize,method,zlib,7zip
app-metadata.properties,properties,0,51,55,8,0,0
baseline.prof,prof,138,8975,8975,0,0,0
classes.dex,dex,9171,3440138,8477168,8,1,0
classes10.dex,dex,3449350,2823243,7189616,8,1,0
classes11.dex,dex,6272636,154479,401780,8,1,0
classes12.dex,dex,6427158,1156778,4653752,8,1,0
classes13.dex,dex,7583979,1197794,4793144,8,1,0
classes14.dex,dex,8781816,1350275,5074308,8,1,0
classes15.dex,dex,10132134,2014367,6059440,8,1,0
classes16.dex,dex,12146544,3049607,8036636,8,1,0
classes17.dex,dex,15196194,3040020,7873992,8,1,0
classes18.dex,dex,18236257,3129479,8634048,8,1,0
classes19.dex,dex,21365779,2955854,7765224,8,1,0
classes2.dex,dex,24321676,2959173,8027496,8,1,0
classes3.dex,dex,27280891,2855727,7512780,8,1,0
classes4.dex,dex,30136660,2812114,7251288,8,1,0
classes5.dex,dex,32948816,3141928,8335864,8,1,0
classes6.dex,dex,36090786,2949079,7620644,8,1,0
classes7.dex,dex,39039907,2937660,7755068,8,1,0
classes8.dex,dex,41977609,3125387,8021972,8,1,0
classes9.dex,dex,45103038,3007699,8254552,8,1,0
libBugly.so,so,48110779,83597,165628,8,1,0
libBurstLinker.so,so,48194433,240844,640768,8,1,0
libCtaApiLib.so,so,48435340,140189,280448,8,1,0
libMegActionFmpJni.so,so,48575590,333494,673668,8,1,0
libSapling.so,so,48909151,258243,595692,8,1,0
libadjni.so,so,49167453,209790,583424,8,1,0
libavif-jni.so,so,49377300,67249,136884,8,1,0
libavif.so,so,49444609,57210,95908,8,1,0
libbili-webp.so,so,49501875,151694,313056,8,1,0
libbili.so,so,49653630,429677,734060,8,1,0
libbili_core.so,so,50083363,48230,88008,8,1,0
libbili_core_dumper.so,so,50131654,55718,92208,8,1,0
libbilicr.88.0.4324.188.so,so,50187440,2355740,3892960,8,1,0
libbiliid.so,so,52543252,213220,583616,8,1,0
libbilirtclibrary.so,so,52756530,2752240,5130040,8,1,0
libblkv.so,so,55508836,66764,153228,8,1,0
libbtrace.so,so,55575656,66470,153292,8,1,0
libbvc-xcode-tools.so,so,55642184,22992,46736,8,1,0
libc++_shared.so,so,55665243,238375,657200,8,1,0
libchronos.so,so,55903680,917882,2402312,8,1,0
