filename,type,offset,compressedSize,uncompressedSize,method,zlib,7zip
AndroidManifest.xml,xml,0,61850,460752,8,0,0
HMSCore-availableupdate.properties,properties,61899,46,46,0,0,0
HMSCore-base.properties,properties,62018,35,35,0,0,0
HMSCore-device.properties,properties,62115,37,37,0,0,0
HMSCore-hatool.properties,properties,62213,37,37,0,0,0
HMSCore-log.properties,properties,62305,34,34,0,0,0
HMSCore-stats.properties,properties,62398,36,36,0,0,0
HMSCore-ui.properties,properties,62488,33,33,0,0,0
android.arch.core_runtime.version,version,62581,6,6,0,0,0
android.arch.lifecycle_livedata-core.version,version,62666,6,6,0,0,0
android.arch.lifecycle_livedata.version,version,62762,6,6,0,0,0
android.arch.lifecycle_runtime.version,version,62846,6,6,0,0,0
android.arch.lifecycle_viewmodel.version,version,62938,6,6,0,0,0
android.arch.persistence.room_runtime.version,version,63030,6,6,0,0,0
android.arch.persistence_db-framework.version,version,63126,6,6,0,0,0
android.arch.persistence_db.version,version,63222,6,6,0,0,0
android.support.design_material.version,version,63302,12,12,0,0,0
androidx.appcompat_appcompat.version,version,63392,6,6,0,0,0
androidx.asynclayoutinflater_asynclayoutinflater.version,version,63482,6,6,0,0,0
androidx.cardview_cardview.version,version,63590,6,6,0,0,0
androidx.coordinatorlayout_coordinatorlayout.version,version,63678,6,6,0,0,0
androidx.core_core.version,version,63782,6,6,0,0,0
androidx.cursoradapter_cursoradapter.version,version,63862,6,6,0,0,0
androidx.customview_customview.version,version,63958,6,6,0,0,0
androidx.documentfile_documentfile.version,version,64050,6,6,0,0,0
androidx.drawerlayout_drawerlayout.version,version,64146,6,6,0,0,0
androidx.fragment_fragment.version,version,64242,6,6,0,0,0
androidx.gridlayout_gridlayout.version,version,64330,6,6,0,0,0
androidx.interpolator_interpolator.version,version,64422,6,6,0,0,0
androidx.legacy_legacy-support-core-ui.version,version,64518,6,6,0,0,0
androidx.legacy_legacy-support-core-utils.version,version,64618,6,6,0,0,0
androidx.legacy_legacy-support-v4.version,version,64718,6,6,0,0,0
androidx.loader_loader.version,version,64810,6,6,0,0,0
androidx.localbroadcastmanager_localbroadcastmanager.version,version,64894,6,6,0,0,0
androidx.media_media.version,version,65006,6,6,0,0,0
androidx.palette_palette.version,version,65086,6,6,0,0,0
androidx.percentlayout_percentlayout.version,version,65170,6,6,0,0,0
androidx.print_print.version,version,65266,6,6,0,0,0
androidx.recyclerview_recyclerview.version,version,65346,6,6,0,0,0
androidx.slidingpanelayout_slidingpanelayout.version,version,65442,6,6,0,0,0
androidx.swiperefreshlayout_swiperefreshlayout.version,version,65546,6,6,0,0,0
androidx.transition_transition.version,version,65654,6,6,0,0,0
androidx.vectordrawable_vectordrawable-animated.version,version,65746,6,6,0,0,0
androidx.vectordrawable_vectordrawable.version,version,65846,6,6,0,0,0
