filename,type,offset,compressedSize,uncompressedSize,method,zlib,7zip
AndroidManifest.xml,xml,0,70155,566396,8,0,0
DebugProbesKt.bin,bin,70204,769,1719,8,0,1
HMSCore-availableupdate.properties,properties,71020,46,46,0,0,0
HMSCore-base.properties,properties,71130,35,35,0,0,0
HMSCore-baselegacyapi.properties,properties,71219,44,44,0,0,0
HMSCore-device.properties,properties,71328,37,37,0,0,0
HMSCore-hatool.properties,properties,71421,37,37,0,0,0
HMSCore-log.properties,properties,71513,34,34,0,0,0
HMSCore-stats.properties,properties,71602,36,36,0,0,0
HMSCore-ui.properties,properties,71692,33,33,0,0,0
activity-ktx_release.kotlin_module,kotlin_module,71777,152,243,8,0,1
androidx.activity_activity-ktx.version,version,72002,6,6,0,0,0
androidx.activity_activity.version,version,72094,6,6,0,0,0
androidx.annotation_annotation-experimental.version,version,72174,6,6,0,0,0
androidx.appcompat_appcompat-resources.version,version,72270,6,6,0,0,0
androidx.appcompat_appcompat.version,version,72362,6,6,0,0,0
androidx.arch.core_core-runtime.version,version,72446,6,6,0,0,0
androidx.asynclayoutinflater_asynclayoutinflater.version,version,72530,6,6,0,0,0
androidx.cardview_cardview.version,version,72634,6,6,0,0,0
androidx.coordinatorlayout_coordinatorlayout.version,version,72714,6,6,0,0,0
androidx.core_core-ktx.version,version,72814,6,6,0,0,0
androidx.core_core.version,version,72890,6,6,0,0,0
androidx.cursoradapter_cursoradapter.version,version,72962,6,6,0,0,0
androidx.customview_customview.version,version,73054,6,6,0,0,0
androidx.databinding_viewbinding.version,version,73138,5,5,0,0,0
androidx.documentfile_documentfile.version,version,73225,6,6,0,0,0
androidx.drawerlayout_drawerlayout.version,version,73314,6,6,0,0,0
androidx.exifinterface_exifinterface.version,version,73402,6,6,0,0,0
androidx.fragment_fragment-ktx.version,version,73494,6,6,0,0,0
androidx.fragment_fragment.version,version,73578,6,6,0,0,0
androidx.interpolator_interpolator.version,version,73658,6,6,0,0,0
androidx.legacy_legacy-support-core-ui.version,version,73746,6,6,0,0,0
androidx.legacy_legacy-support-core-utils.version,version,73838,6,6,0,0,0
androidx.lifecycle_lifecycle-extensions.version,version,73934,6,6,0,0,0
androidx.lifecycle_lifecycle-livedata-core-ktx.version,version,74026,6,6,0,0,0
androidx.lifecycle_lifecycle-livedata-core.version,version,74126,6,6,0,0,0
